ccs_code,cpt_code,ccs_label
1,61000,Incision and excision of CNS
1,61001,Incision and excision of CNS
1,61002,Incision and excision of CNS
1,61003,Incision and excision of CNS
1,61004,Incision and excision of CNS
1,61005,Incision and excision of CNS
1,61006,Incision and excision of CNS
1,61007,Incision and excision of CNS
1,61008,Incision and excision of CNS
1,61009,Incision and excision of CNS
1,61010,Incision and excision of CNS
1,61011,Incision and excision of CNS
1,61012,Incision and excision of CNS
1,61013,Incision and excision of CNS
1,61014,Incision and excision of CNS
1,61015,Incision and excision of CNS
1,61016,Incision and excision of CNS
1,61017,Incision and excision of CNS
1,61018,Incision and excision of CNS
1,61019,Incision and excision of CNS
1,61020,Incision and excision of CNS
1,61021,Incision and excision of CNS
1,61022,Incision and excision of CNS
1,61023,Incision and excision of CNS
1,61024,Incision and excision of CNS
1,61025,Incision and excision of CNS
1,61026,Incision and excision of CNS
1,61027,Incision and excision of CNS
1,61028,Incision and excision of CNS
1,61029,Incision and excision of CNS
1,61030,Incision and excision of CNS
1,61031,Incision and excision of CNS
1,61032,Incision and excision of CNS
1,61033,Incision and excision of CNS
1,61034,Incision and excision of CNS
1,61035,Incision and excision of CNS
1,61036,Incision and excision of CNS
1,61037,Incision and excision of CNS
1,61038,Incision and excision of CNS
1,61039,Incision and excision of CNS
1,61040,Incision and excision of CNS
1,61041,Incision and excision of CNS
1,61042,Incision and excision of CNS
1,61043,Incision and excision of CNS
1,61044,Incision and excision of CNS
1,61045,Incision and excision of CNS
1,61046,Incision and excision of CNS
1,61047,Incision and excision of CNS
1,61048,Incision and excision of CNS
1,61049,Incision and excision of CNS
1,61050,Incision and excision of CNS
1,61051,Incision and excision of CNS
1,61052,Incision and excision of CNS
1,61053,Incision and excision of CNS
1,61054,Incision and excision of CNS
1,61055,Incision and excision of CNS
1,61105,Incision and excision of CNS
1,61106,Incision and excision of CNS
1,61108,Incision and excision of CNS
1,61109,Incision and excision of CNS
1,61110,Incision and excision of CNS
1,61111,Incision and excision of CNS
1,61112,Incision and excision of CNS
1,61113,Incision and excision of CNS
1,61114,Incision and excision of CNS
1,61115,Incision and excision of CNS
1,61116,Incision and excision of CNS
1,61117,Incision and excision of CNS
1,61118,Incision and excision of CNS
1,61119,Incision and excision of CNS
1,61120,Incision and excision of CNS
1,61121,Incision and excision of CNS
1,61122,Incision and excision of CNS
1,61123,Incision and excision of CNS
1,61124,Incision and excision of CNS
1,61125,Incision and excision of CNS
1,61126,Incision and excision of CNS
1,61127,Incision and excision of CNS
1,61128,Incision and excision of CNS
1,61129,Incision and excision of CNS
1,61130,Incision and excision of CNS
1,61150,Incision and excision of CNS
1,61151,Incision and excision of CNS
1,61152,Incision and excision of CNS
1,61153,Incision and excision of CNS
1,61154,Incision and excision of CNS
1,61155,Incision and excision of CNS
1,61156,Incision and excision of CNS
1,61250,Incision and excision of CNS
1,61251,Incision and excision of CNS
1,61252,Incision and excision of CNS
1,61253,Incision and excision of CNS
1,61254,Incision and excision of CNS
1,61255,Incision and excision of CNS
1,61256,Incision and excision of CNS
1,61257,Incision and excision of CNS
1,61258,Incision and excision of CNS
1,61259,Incision and excision of CNS
1,61260,Incision and excision of CNS
1,61261,Incision and excision of CNS
1,61262,Incision and excision of CNS
1,61263,Incision and excision of CNS
1,61264,Incision and excision of CNS
1,61265,Incision and excision of CNS
1,61266,Incision and excision of CNS
1,61267,Incision and excision of CNS
1,61268,Incision and excision of CNS
1,61269,Incision and excision of CNS
1,61270,Incision and excision of CNS
1,61271,Incision and excision of CNS
1,61272,Incision and excision of CNS
1,61273,Incision and excision of CNS
1,61274,Incision and excision of CNS
1,61275,Incision and excision of CNS
1,61276,Incision and excision of CNS
1,61277,Incision and excision of CNS
1,61278,Incision and excision of CNS
1,61279,Incision and excision of CNS
1,61280,Incision and excision of CNS
1,61281,Incision and excision of CNS
1,61282,Incision and excision of CNS
1,61283,Incision and excision of CNS
